beta,gamma
0.134584,0.036323
0.205147,0.032591
0.146827,0.033493
0.130160,0.019366
0.211636,0.052721
0.197623,0.027366
0.184846,0.062976
0.167570,0.040441
0.368574,0.046396
0.309698,0.106827
0.235671,0.036369
0.197784,0.037967
0.168430,0.050790
0.165803,0.029161
0.274118,0.055316
0.255657,0.027865
0.268362,0.018434
0.204346,0.015652
0.220535,0.027108
0.234774,0.017599
0.306384,0.043513
0.244039,0.033951
0.121919,0.021557
0.155840,0.064211
0.366308,0.014839
0.223868,0.078817
0.240312,0.028848
0.147219,0.027965
0.204584,0.016062
0.190347,0.015357
0.237030,0.017495
0.276942,0.031854
0.322281,0.018192
0.286286,0.028105
0.326929,0.068413
0.281602,0.095708
0.220644,0.016100
0.337425,0.040443
0.374752,0.024703
0.214966,0.018122
0.409212,0.030550
0.119607,0.021612
0.261076,0.084378
0.225233,0.034295
0.146530,0.027175
0.496785,0.029180
0.148596,0.017395
0.176982,0.025512
0.166840,0.040367
0.292199,0.045151
0.139569,0.021886
0.272794,0.035122
0.410759,0.036713
0.337531,0.031273
0.223207,0.076581
0.121242,0.019702
0.142493,0.030430
0.196788,0.038151
0.286977,0.019372
0.177557,0.028804
0.203074,0.062923
0.303469,0.080998
0.224991,0.026399
0.337254,0.012414
0.209335,0.017158
0.204948,0.012885
0.453484,0.027061
0.219558,0.042504
0.221384,0.032358
0.385415,0.052645
0.377465,0.015448
0.318339,0.022786
0.256039,0.030716
0.279016,0.092001
0.241959,0.035871
0.268176,0.025146
0.160982,0.053188
0.200427,0.014242
0.327041,0.095937
0.131589,0.028479
0.274187,0.125687
0.476722,0.045115
0.427255,0.015762
0.167483,0.019374
0.154855,0.015434
0.152465,0.023938
0.259174,0.038658
0.395603,0.027718
0.315211,0.019150
0.258195,0.080789
0.155388,0.039179
0.179627,0.025418
0.229688,0.029259
0.214319,0.033226
0.154347,0.038683
0.230830,0.036803
0.355377,0.053064
0.222387,0.013445
0.307423,0.017457
0.135965,0.025103
0.205432,0.019362
0.286364,0.062814
0.177698,0.031966
0.307164,0.021699
0.440467,0.015496
0.232311,0.049175
0.492421,0.044967
0.270761,0.016425
0.215906,0.013144
0.272792,0.069170
0.186290,0.025377
0.348433,0.037964
0.308181,0.100030
0.232943,0.014597
0.136917,0.037975
0.312057,0.081269
0.162199,0.054702
0.245376,0.046278
0.250968,0.015073
0.377613,0.017554
0.272414,0.085452
0.254358,0.018333
0.302446,0.075846
0.166140,0.057139
0.299544,0.015064
0.236315,0.030853
0.194169,0.017098
0.137447,0.035455
0.287885,0.012818
0.132599,0.026354
0.325627,0.029133
0.200621,0.080798
0.263225,0.016434
0.184865,0.018007
0.385347,0.037599
0.443695,0.015230
0.282911,0.035833
0.280971,0.016599
0.373403,0.014155
0.177672,0.052221
0.159983,0.023149
0.261043,0.036388
0.216504,0.071122
0.338361,0.019982
0.302198,0.027340
0.313963,0.024647
0.213624,0.019097
0.164560,0.015293
0.256711,0.013859
0.268528,0.087858
0.201299,0.026669
0.401118,0.018221
0.206173,0.019552
0.202802,0.045896
0.229419,0.031479
0.262510,0.014909
0.127179,0.026399
0.165048,0.045534
0.206189,0.072831
0.252712,0.097626
0.211795,0.079213
0.208740,0.012894
0.363894,0.031616
0.389777,0.039002
0.276013,0.015615
0.198647,0.013758
0.409920,0.038252
0.240221,0.013328
0.207798,0.013852
0.400668,0.017252
0.388202,0.040559
0.270825,0.014615
0.165803,0.063166
0.137557,0.028929
0.205109,0.070247
0.356898,0.017411
0.336814,0.043563
0.141572,0.022799
0.203896,0.036198
0.196883,0.029038
0.416368,0.026453
0.362903,0.018458
0.144442,0.015616
0.322191,0.029937
0.282470,0.027579
0.255259,0.074616
0.352329,0.032900
0.140364,0.035513
0.137935,0.025589
0.288088,0.068929
0.222132,0.047428
0.180502,0.023714
0.330377,0.031352
0.417596,0.019256
0.129477,0.021601
0.149919,0.048023
0.176425,0.029141
0.203761,0.048880
0.296232,0.018817
0.291264,0.035758
0.303966,0.015084
0.367588,0.016971
0.235501,0.029715
0.296636,0.092341
0.251507,0.019810
0.124365,0.017787
0.160551,0.055677
0.178561,0.053090
0.224716,0.017103
0.158001,0.053390
0.254306,0.106635
0.262775,0.020643
0.193346,0.014260
0.413904,0.025919
0.476138,0.016707
0.148714,0.027574
0.121021,0.016589
0.228525,0.054826
0.338101,0.033694
0.215062,0.023696
0.403705,0.015522
0.228517,0.088276
0.336487,0.053075
0.312842,0.054466
0.431719,0.030133
0.146262,0.039820
0.226291,0.018058
0.331027,0.030528
0.467628,0.040736
0.164936,0.032465
0.444281,0.040197
0.156465,0.048133
0.404264,0.045444
0.309789,0.077987
0.271616,0.067919
0.172830,0.039392
0.301645,0.018828
0.179021,0.024460
0.368957,0.059398
0.209579,0.035430
0.506340,0.038617
0.161450,0.016857
0.135864,0.033408
0.270473,0.072839
0.291719,0.018297
0.149572,0.042656
0.280091,0.118640
0.303560,0.053951
0.174902,0.032013
0.161361,0.023086
0.264184,0.026280
0.181147,0.033478
0.206976,0.068192
0.435461,0.028985
0.166917,0.045548
0.236828,0.016537
0.158116,0.037642
0.284240,0.096315
0.221567,0.067818
0.339842,0.016699
0.148461,0.020881
0.212889,0.056764
0.396818,0.034524
0.306315,0.036938
0.267606,0.038694
0.354931,0.040903
0.362955,0.032396
0.356985,0.018052
0.178653,0.065594
0.153785,0.020864
0.204728,0.071584
0.308573,0.097367
0.120757,0.036131
0.459551,0.025911
0.176098,0.013405
0.323634,0.032669
0.328754,0.050050
0.211276,0.017991
0.130197,0.022545
0.298247,0.053360
0.212219,0.078865
0.119960,0.031848
0.234359,0.022621
0.236301,0.054724
0.182450,0.034860
0.225529,0.059462
0.127522,0.025163
0.188661,0.015111
0.250330,0.043235
0.211511,0.022882
0.275753,0.068965
0.233374,0.011836
0.248350,0.044059
0.162001,0.038514
0.194361,0.018247
0.245353,0.026601
0.395136,0.017890
0.313678,0.043441
0.435392,0.023994
0.133479,0.034099
0.304640,0.044034
0.202348,0.047624
0.159046,0.014290
0.406390,0.049090
0.220634,0.013745
0.446860,0.039680
0.410602,0.031980
0.223018,0.019449
0.136669,0.029984
0.416348,0.034705
0.368679,0.018681
0.246055,0.059338
0.174428,0.051925
0.191193,0.035771
0.166771,0.036852
0.383190,0.054059
0.249294,0.049094
0.297121,0.021118
0.159535,0.032469
0.153348,0.021684
0.196880,0.035265
0.223891,0.013842
0.391003,0.049411
0.409798,0.027507
0.315889,0.029081
0.157917,0.046757
0.304085,0.046629
0.192919,0.013481
0.357823,0.055202
0.293080,0.057454
0.234970,0.013027
0.131516,0.023290
0.159840,0.014106
0.460016,0.037857
0.186382,0.066160
0.226311,0.058008
0.423939,0.049892
0.257181,0.046166
0.207993,0.015419
0.257880,0.014686
0.431496,0.017073
0.159174,0.036619
0.164905,0.022401
0.174461,0.028743
0.107997,0.028043
0.273545,0.032740
0.225258,0.031208
0.472614,0.048621
0.264446,0.069612
0.340060,0.016861
0.149325,0.048171
0.195269,0.035100
0.152118,0.032955
0.237192,0.035035
0.148688,0.019086
0.251752,0.065025
0.280456,0.021163
0.290654,0.029602
0.184131,0.036061
0.237921,0.024274
0.292603,0.043857
0.358778,0.040907
0.317174,0.088193
0.120525,0.019839
0.124199,0.026292
0.153905,0.024614
0.146658,0.015539
0.167639,0.037722
0.417966,0.025175
0.458129,0.017061
0.130022,0.037716
0.384889,0.032980
0.462042,0.016221
0.211564,0.016885
0.199306,0.015726
0.293851,0.023917
0.260357,0.048192
0.350997,0.037834
0.114930,0.021090
0.104463,0.021236
0.286253,0.109058
0.208404,0.014388
0.334465,0.067876
0.302146,0.014003
0.282731,0.099255
0.485681,0.020969
0.350398,0.059049
0.386775,0.029451
0.221615,0.022458
0.128854,0.018053
0.322649,0.070344
0.287727,0.012836
0.342609,0.015620
0.215112,0.030802
0.319340,0.080165
0.441910,0.016616
0.142519,0.018116
0.309872,0.013228
0.327826,0.048748
0.158985,0.020655
0.256258,0.105574
0.300229,0.020735
0.421774,0.033575
0.289834,0.014947
0.254963,0.036264
0.203445,0.032659
0.209966,0.016018
0.150950,0.047346
0.217619,0.050520
0.191703,0.031560
0.226526,0.022008
0.204945,0.049061
0.214590,0.015261
0.250010,0.013953
0.179462,0.040520
0.169080,0.031105
0.218703,0.012966
0.271827,0.026071
0.255428,0.054241
0.230915,0.033874
0.165856,0.019913
0.297219,0.049318
0.181549,0.013150
0.300936,0.047578
0.193611,0.015343
0.193306,0.019452
0.429663,0.014931
0.243035,0.021175
0.333150,0.066980
0.298630,0.062522
0.399416,0.020458
0.289876,0.078143
0.294879,0.064777
0.277087,0.028464
0.326927,0.030551
0.194655,0.027860
0.351868,0.015078
0.198856,0.083260
0.226756,0.065442
0.334663,0.015803
0.201699,0.085863
0.170329,0.053718
0.184394,0.038807
0.140995,0.044914
0.188272,0.018590
0.415021,0.016441
0.132455,0.017238
0.334738,0.022593
0.296076,0.050920
0.165026,0.047877
0.235579,0.048194
0.330980,0.072302
0.229524,0.025411
0.152284,0.031814
0.463311,0.015270
0.235310,0.018526
0.397655,0.014960
0.275884,0.080592
0.256657,0.083206
0.203357,0.014184
0.152558,0.027283
0.294909,0.048564
0.250109,0.018611
0.200166,0.082324
0.331568,0.022623
0.124896,0.031437
0.213122,0.042866
0.219685,0.024030
0.184268,0.065847
0.143416,0.021032
0.277514,0.013100
0.327458,0.016741
0.175831,0.021911
0.339562,0.042656
0.485229,0.044630
0.146502,0.023042
0.156454,0.033106
0.435423,0.047832
0.237089,0.062728
0.277328,0.069481
0.187949,0.076431
0.262683,0.057826
0.209306,0.023938
0.186694,0.017659
0.351285,0.017836
0.289906,0.061650
0.211324,0.060688
0.119238,0.018431
0.293026,0.084842
0.219257,0.054548
0.369641,0.037505
0.303074,0.013515
0.136512,0.019308
0.189412,0.026351
0.203472,0.041724
0.302058,0.012309
0.277957,0.033686
0.189217,0.022884
0.277772,0.057099
0.140814,0.045684
0.236314,0.093601
0.416036,0.033464
0.290268,0.074158
0.244564,0.024530
0.153452,0.033546
0.174045,0.015419
0.300380,0.072785
0.184668,0.057456
0.229739,0.020966
0.196623,0.045451
0.270329,0.014126
0.118170,0.023886
0.244405,0.014693
0.214994,0.030948
0.435016,0.029439
0.293408,0.087021
0.189864,0.019243
0.384634,0.028113
0.305344,0.034520
0.289332,0.016604
0.447073,0.015636
0.271794,0.028933
0.453445,0.013907
0.326657,0.041539
0.224005,0.018354
0.171782,0.047407
0.219102,0.047752
0.246790,0.019866
0.162710,0.031991
0.301206,0.025648
0.332153,0.084485
0.315940,0.022657
0.110629,0.028700
0.276341,0.104468
0.146386,0.045965
0.411101,0.018366
0.243849,0.077911
0.222176,0.013667
0.170325,0.017809
0.163273,0.019228
0.270151,0.056372
0.186957,0.036514
0.177834,0.022886
0.504085,0.016753
0.147612,0.034525
0.389035,0.020734
0.168294,0.037295
0.165893,0.023000
0.433568,0.039611
0.144564,0.020637
0.272419,0.020720
0.251488,0.074772
0.115907,0.021945
0.166134,0.022867
0.133477,0.025001
0.227953,0.080883
0.341546,0.018004
0.135843,0.025970
0.233607,0.074508
0.456308,0.042627
0.255829,0.013866
0.416301,0.044354
0.219199,0.028235
0.397018,0.028703
0.151206,0.018750
0.211913,0.055566
0.124234,0.018899
0.341522,0.030742
0.202915,0.042383
0.154818,0.029716
0.151936,0.039759
0.152055,0.022052
0.444922,0.018116
0.347206,0.049443
0.160093,0.015344
0.227670,0.015763
0.163727,0.048229
0.281940,0.056450
0.402161,0.018218
0.113738,0.028715
0.364619,0.060720
0.288016,0.016455
0.242410,0.032266
0.228682,0.085730
0.222976,0.073888
0.290806,0.038576
0.290070,0.056151
0.299430,0.055241
0.255222,0.103055
0.200119,0.038677
0.429979,0.047482
0.275774,0.049053
0.107629,0.021102
0.336789,0.013589
0.268329,0.089013
0.467476,0.017049
0.458853,0.027006
0.126190,0.021525
0.170082,0.039927
0.194531,0.025001
0.121112,0.029801
0.345637,0.045916
0.142532,0.024221
0.319359,0.029923
0.308187,0.047425
0.125375,0.019713
0.169743,0.023265
0.175341,0.021830
0.229176,0.026030
0.189910,0.029001
0.203938,0.082377
0.138438,0.048583
0.211558,0.053027
0.193820,0.059869
0.125252,0.029425
0.336203,0.037639
0.130454,0.023671
0.303234,0.045227
0.181951,0.013660
0.319318,0.015050
0.345540,0.063470
0.371870,0.015909
0.309153,0.015383
0.260269,0.035724
0.327339,0.043083
0.246730,0.082836
0.262277,0.034891
0.386930,0.018827
0.351171,0.036348
0.329027,0.026028
0.252501,0.033522
0.282911,0.016373
0.200664,0.040031
0.176904,0.049205
0.280667,0.094890
0.162595,0.042958
0.409969,0.045266
0.192074,0.047105
0.190507,0.023472
0.275034,0.024282
0.553544,0.032601
0.217875,0.040325
0.241980,0.022746
0.451969,0.047307
0.418309,0.048005
0.420720,0.018372
0.326388,0.089846
0.172954,0.054633
0.146398,0.021896
0.218433,0.060260
0.161529,0.031053
0.358027,0.033138
0.389332,0.038421
0.284980,0.048433
0.454422,0.026804
0.140022,0.017152
0.244617,0.069382
0.249646,0.021438
0.246866,0.059434
0.238481,0.018050
0.227356,0.031464
0.252919,0.020662
0.457185,0.038934
0.168845,0.015647
0.282721,0.037619
0.304995,0.033456
0.113430,0.022173
0.190135,0.013003
0.215456,0.013811
0.279561,0.047993
0.510888,0.041300
0.281111,0.038583
0.145837,0.016197
0.287464,0.014681
0.163668,0.052213
0.245129,0.022652
0.364103,0.030030
0.218437,0.045275
0.329571,0.055361
0.332775,0.112640
0.305773,0.017663
0.303411,0.053212
0.141794,0.016615
0.285684,0.049792
0.185737,0.014722
0.393825,0.035814
0.434887,0.021409
0.327798,0.069862
0.135933,0.029419
0.271066,0.020015
0.331254,0.019198
0.110309,0.029006
0.180280,0.012788
0.374677,0.014696
0.155810,0.014245
0.356253,0.048701
0.178988,0.037565
0.279399,0.017198
0.338466,0.021490
0.250731,0.026003
0.198922,0.058850
0.216205,0.038090
0.285476,0.049222
0.380666,0.016609
0.192945,0.019654
0.329743,0.043906
0.380746,0.039704
0.134280,0.034249
0.318619,0.035397
0.146534,0.045826
0.206744,0.017971
0.257053,0.013189
0.152108,0.034704
0.178874,0.014844
0.236236,0.032612
0.213388,0.047079
0.210294,0.045280
0.310976,0.113767
0.207920,0.027051
0.345913,0.013433
0.231911,0.031293
0.330124,0.027179
0.157109,0.013235
0.221827,0.013897
0.141072,0.043591
0.127203,0.034264
0.300101,0.060049
0.341648,0.023565
0.250408,0.026737
0.271136,0.018783
0.293049,0.013665
0.418428,0.024387
0.180462,0.043272
0.134192,0.040062
0.209860,0.020231
0.445817,0.017856
0.188978,0.014523
0.251851,0.106915
0.200457,0.059217
0.322007,0.068113
0.324454,0.044863
0.282837,0.015388
0.402967,0.021346
0.368853,0.013198
0.156078,0.052321
0.147256,0.013964
0.252632,0.014422
0.262260,0.018217
0.213150,0.021582
0.238987,0.025194
0.221570,0.024718
0.191585,0.028321
0.190405,0.022725
0.353571,0.036003
0.195489,0.017845
0.147957,0.042393
0.228520,0.030319
0.386258,0.048245
0.135298,0.019331
0.364852,0.051443
0.284931,0.034311
0.403562,0.015738
0.370134,0.019894
0.182351,0.021955
0.395343,0.014766
0.434012,0.014236
0.315761,0.039551
0.318706,0.017604
0.474935,0.026566
0.273854,0.015783
0.217922,0.048719
0.331399,0.107351
0.255376,0.022241
0.164878,0.039612
0.194812,0.021885
0.150017,0.017470
0.233879,0.015299
0.224440,0.059828
0.376384,0.054740
0.201697,0.048529
0.200656,0.016633
0.439744,0.019697
0.194164,0.073469
0.172863,0.061775
0.265496,0.021005
0.488671,0.024645
0.237879,0.024167
0.134613,0.025078
0.197020,0.056758
0.298964,0.107596
0.282437,0.028728
0.306176,0.090169
0.293688,0.022707
0.374358,0.023749
0.276134,0.089206
0.181746,0.017223
0.314598,0.042272
0.119680,0.026711
0.243327,0.019617
0.240018,0.072309
0.169420,0.014418
0.208236,0.055751
0.140052,0.044660
0.195512,0.048274
0.283345,0.066581
0.126498,0.026211
0.262475,0.084298
0.200939,0.066620
0.190684,0.023373
0.167026,0.037745
0.142216,0.035753
0.156528,0.030902
0.184762,0.047009
0.302331,0.036605
0.366207,0.032822
0.359412,0.019352
0.364728,0.026081
0.168316,0.060003
0.251820,0.040289
0.303308,0.077735
0.257547,0.013859
0.223222,0.056681
0.215573,0.079324
0.489294,0.042033
0.179684,0.038236
0.169273,0.037664
0.279060,0.103235
0.389346,0.057182
0.220668,0.019633
0.215163,0.032190
0.240562,0.012909
0.153065,0.021179
0.315169,0.079028
0.176606,0.048160
0.194880,0.057575
0.180917,0.021562
0.333638,0.051614
0.419419,0.014491
0.314227,0.052158
0.125179,0.021888
0.291470,0.023990
0.518269,0.016615
0.150511,0.021673
0.255982,0.066500
0.253181,0.018210
0.169701,0.044045
0.141146,0.041617
0.204981,0.019999
0.120434,0.020821
0.271622,0.030866
0.229928,0.027358
0.136991,0.023152
0.376534,0.048980
0.443133,0.043494
0.285285,0.013513
0.160723,0.014825
0.175159,0.034642
0.334858,0.044609
0.291281,0.041012
0.349433,0.015899
0.171139,0.040488
0.185344,0.017304
0.272646,0.044280
0.288635,0.032944
0.171148,0.019453
0.233986,0.057195
0.127999,0.019682
0.141934,0.035710
0.289602,0.044733
0.165246,0.024444
0.293060,0.015814
0.296713,0.024877
0.258592,0.072749
0.125454,0.030054
0.240584,0.054776
0.393856,0.055155
0.334557,0.062194
0.430585,0.019956
0.264870,0.100402
0.355790,0.048728
0.165568,0.064261
0.148981,0.024494
0.130987,0.035636
0.162166,0.013633
0.324545,0.015156
0.298006,0.019069
0.173455,0.031699
0.214906,0.072548
0.299331,0.048707
0.232166,0.080618
0.452207,0.013526
0.201267,0.024403
0.272530,0.024010
0.224809,0.062728
0.221861,0.028235
0.296033,0.014356
0.352027,0.034046
0.400478,0.026937
0.469505,0.014072
0.111808,0.019804
0.140685,0.026874
0.231573,0.078090
0.124877,0.019959
0.210965,0.013313
0.178240,0.024567
0.302933,0.052570
0.142639,0.045890
0.212337,0.045324
0.238136,0.031193
0.212283,0.013203
0.146915,0.015742
0.140443,0.023746
0.161379,0.014676
0.162883,0.036773
0.160058,0.019938
0.345078,0.023498
0.394532,0.015649
0.378804,0.028159
0.267759,0.047087
0.252180,0.065105
0.174552,0.015209
0.318534,0.017226
0.442100,0.023457
0.484081,0.023571
0.201567,0.021487
0.152434,0.039109
0.252687,0.012850
0.270333,0.058987
0.233646,0.021097
0.211891,0.040555
0.143837,0.049607
0.195451,0.048199
0.124550,0.023358
0.290481,0.056120
0.193715,0.067826
0.260286,0.065879
0.293823,0.033549
0.229322,0.012605
0.354831,0.026402
0.265523,0.059380
0.187669,0.036690
0.369825,0.038652
0.442276,0.022558
0.352506,0.053921
0.161846,0.029012
0.396211,0.018196
0.183748,0.018804
0.157129,0.016735
0.246798,0.025165
0.210888,0.052994
0.302194,0.030891
0.272319,0.093004
0.265045,0.052714
0.312845,0.080869
0.357905,0.019945
0.399499,0.015977
0.156977,0.028071
0.241751,0.015646
0.384409,0.042418
0.227424,0.042458
0.160619,0.028043
0.266469,0.057945
0.187973,0.026583
0.311845,0.015666
0.243705,0.019981
0.309838,0.049363
0.190592,0.040348
0.179877,0.020504
0.234690,0.026955
0.210121,0.022561
0.385867,0.046772
0.214376,0.038250
0.358539,0.041461
0.145765,0.040124
0.197174,0.012955
0.308199,0.064547
0.277326,0.013242
0.118662,0.018061
0.125735,0.014931
0.144014,0.030735
0.280145,0.052484
0.429423,0.017898
0.276534,0.033236
0.176756,0.022380
0.306882,0.027220
0.430273,0.048449
0.336010,0.050034
0.217543,0.080459
0.206644,0.045257
0.414542,0.016286
0.224137,0.095581
0.191004,0.021719
0.183863,0.032506
0.164099,0.043946
0.190463,0.021557
0.208090,0.052137
0.189818,0.075434
0.124796,0.016994
0.346642,0.051241
0.475394,0.017268
0.173454,0.017705
0.264115,0.025763
0.200555,0.019117
0.229564,0.027528
0.211515,0.013351
0.281933,0.020800
0.122083,0.033691
0.260704,0.043837
0.185552,0.054146
0.300020,0.035117
0.188481,0.027325
0.216243,0.060915
0.129685,0.022035
0.309785,0.032152
0.139692,0.043565
0.227374,0.068067
0.202988,0.052342
0.251897,0.061312
0.255708,0.019649
0.187349,0.068450
0.274103,0.023705
0.272476,0.067533
0.129908,0.038592
0.306310,0.023380
0.244108,0.062127
0.236186,0.100675
0.191978,0.022254
0.291792,0.077712
0.471596,0.042522
0.164191,0.023151
0.344221,0.014092
0.166627,0.031903
0.255948,0.081033
0.190937,0.016376
0.161949,0.020076
0.177452,0.013212
0.341404,0.029346
0.170492,0.038287
0.265760,0.063484
0.254509,0.048497
0.238107,0.043633
0.168006,0.034252
0.176935,0.047199
0.220382,0.027873
0.240884,0.092362
0.351568,0.026393
0.426442,0.015634
0.265935,0.021966
0.244401,0.032174
0.153779,0.052422
0.341368,0.016002
0.491625,0.037308
0.244701,0.017455
0.188249,0.039003
0.331481,0.022442
0.222250,0.014606
0.183462,0.014668
0.156008,0.043221
0.245442,0.027408
0.518074,0.021553
0.471321,0.018347
0.282351,0.067125
0.190320,0.024777
0.203797,0.030635
0.370481,0.033404
0.153067,0.018951
0.134427,0.016178
0.258394,0.026351
0.245090,0.089200
0.146485,0.024944
0.203454,0.030006
0.278867,0.034918
0.147482,0.028143
0.243745,0.037661
0.110253,0.017496
0.141658,0.037563
0.543137,0.029328
0.306756,0.056749
0.166673,0.014592
0.309327,0.015166
0.236061,0.024373
0.379580,0.027138
0.176213,0.056058
0.284176,0.015576
0.320099,0.060359
0.342455,0.033927
0.322349,0.099189
0.332986,0.037901
0.176209,0.018075
0.308508,0.021724
0.343500,0.045012
0.267800,0.023615
0.241915,0.025138
0.207319,0.059172
0.212515,0.022874
0.387276,0.022613
0.312587,0.016931
0.253020,0.048728
0.281290,0.081270
0.316573,0.015027
0.277494,0.013281
0.247846,0.055200
0.173436,0.064417
0.150201,0.023703
0.186853,0.054116
0.253917,0.064766
0.449515,0.027615
0.335682,0.032799
0.149924,0.051294
0.210367,0.018370
0.195690,0.012234
0.312176,0.016001
0.208650,0.044193
0.238350,0.012771
0.268753,0.055928
0.158355,0.014526
0.207312,0.047699
0.232436,0.013044
0.285689,0.028825
0.210809,0.042265
0.149707,0.036756
0.278137,0.060637
0.518401,0.030042
0.252416,0.049255
0.205004,0.014033
0.221844,0.051091
0.179771,0.018274
0.251656,0.090956
0.350173,0.023641
0.442055,0.039555
0.190524,0.051470
0.246531,0.048770
0.160736,0.022492
0.212337,0.041793
0.335410,0.023330
0.363309,0.015145
0.310955,0.051293
0.304709,0.025637
0.341924,0.038060
0.138152,0.020956
0.200605,0.016854
0.388079,0.056311
0.365206,0.015153
0.240594,0.034520
0.357174,0.038434
0.279657,0.016497
0.276318,0.075777
0.199398,0.016732
0.219052,0.048754
0.251764,0.032416
0.247431,0.069814
0.189394,0.065844
0.206643,0.026566
0.152089,0.023716
0.421751,0.028472
0.412736,0.042264
0.222580,0.016157
0.269910,0.032154
0.276930,0.014395
0.205911,0.036106
0.276068,0.026074
0.351525,0.051647
0.200204,0.022125
0.240863,0.066158
0.176168,0.048223
0.307812,0.070138
0.137428,0.031286
0.340537,0.022618
0.199565,0.021938
0.158504,0.059783
0.199870,0.019858
0.212099,0.063300
0.115356,0.025313
0.215523,0.044841
0.522118,0.027255
0.524377,0.023752
0.275626,0.034494
0.177050,0.036054
0.208395,0.024475
0.379590,0.021744
0.298728,0.064586
0.389975,0.021662
0.150288,0.015184
0.136493,0.018943
0.296095,0.051834
0.378094,0.015718
0.421386,0.038185
0.208546,0.034962
0.397735,0.017403
0.115982,0.022314
0.254616,0.087730
0.143774,0.032879
0.214247,0.082602
0.303311,0.014077
0.213504,0.054888
0.265567,0.041482
0.294965,0.055197
0.178470,0.017016
0.328619,0.022360
0.135820,0.036754
0.285152,0.100009
0.236209,0.048871
0.146956,0.014604
0.192392,0.070475
0.224183,0.042596
0.247122,0.054475
0.140651,0.043783
0.168831,0.029605
0.224741,0.032764
0.158403,0.039065
0.184959,0.068338
0.163636,0.049940
0.118108,0.027442
0.299228,0.042032
0.462069,0.040190
0.490358,0.014389
0.299134,0.106881
0.264469,0.025205
0.160310,0.019435
0.238455,0.013829
0.271572,0.024831
0.181378,0.024125
0.371740,0.054736
0.295953,0.026722
0.269988,0.015332
0.175969,0.028459
0.262096,0.018942
0.175157,0.024870
0.263980,0.013304
0.230227,0.065560
0.264317,0.037155
0.145492,0.036898
0.241758,0.090696
0.190042,0.017967
0.273439,0.023831
0.199383,0.026770
0.171352,0.016713
0.136658,0.024213
0.294484,0.028636
0.327307,0.035716
0.183997,0.058753
0.200887,0.043788
0.457397,0.022519
0.177004,0.038946
0.186413,0.053309
0.113158,0.019331
0.222059,0.046825
0.202032,0.017745
0.381653,0.016164
0.257642,0.021324
0.194756,0.031096
0.327047,0.021959
0.163666,0.042618
0.110443,0.023343
0.269890,0.086502
0.200915,0.012611
0.400593,0.030585
0.300066,0.050543
0.177019,0.023934
0.309852,0.059356
0.202272,0.048170
0.360067,0.022928
0.183408,0.054418
0.288749,0.013671
0.242823,0.037256
0.417231,0.024337
0.230906,0.046326
0.129249,0.018185
0.216535,0.019272
0.160940,0.015081
0.179731,0.019285
0.221568,0.015562
0.208869,0.084807
0.443996,0.021766
0.477762,0.018236
0.240169,0.085216
0.360319,0.104424
0.295150,0.019496
0.332268,0.055149
0.174010,0.014298
0.198906,0.023545
0.199811,0.015488
0.314801,0.038620
0.224483,0.051357
0.219222,0.024483
0.323565,0.014200
0.317317,0.079164
0.224928,0.054846
0.389977,0.047357
0.289841,0.015685
0.481425,0.022621
0.333453,0.069739
0.186301,0.062854
0.354170,0.054444
0.328851,0.029277
0.306453,0.073871
0.303515,0.043508
0.215665,0.014662
0.338077,0.066143
0.347419,0.046264
0.315723,0.025783
0.341179,0.111514
0.162871,0.049449
0.280477,0.062221
0.291876,0.044074
0.247641,0.043605
0.163647,0.039505
0.172808,0.033112
0.205454,0.022784
0.132799,0.016633
0.204779,0.031406
0.192261,0.051738
0.172018,0.025769
0.250843,0.067185
0.422925,0.016479
0.334064,0.049583
0.331766,0.060945
0.183835,0.039134
0.192951,0.019944
0.249895,0.025728
0.280825,0.090003
0.281160,0.022139
0.179414,0.016906
0.171503,0.012940
0.362982,0.014477
0.464479,0.015872
0.195594,0.069090
0.293598,0.087018
0.236787,0.016285
0.122233,0.034371
0.433195,0.015760
0.385515,0.049525
0.316945,0.100244
0.244737,0.071357
0.481526,0.014591
0.156493,0.038014
0.300534,0.022978
0.159282,0.020286
0.284426,0.017807
0.255407,0.015498
0.349964,0.015905
0.347722,0.028972
0.145291,0.012612
0.141358,0.022618
0.179620,0.030414
0.349675,0.015871
0.226731,0.041174
0.541114,0.041170
0.335812,0.042994
0.314481,0.119876
0.157193,0.033182
0.144115,0.021537
0.219334,0.048830
0.116387,0.020081
0.266914,0.047693
0.320429,0.060072
0.231561,0.014220
0.247744,0.044426
0.330852,0.013787
0.284525,0.078381
0.423634,0.042645
0.236068,0.016233
0.349491,0.035472
0.203427,0.064213
0.246881,0.053407
0.361740,0.057578
0.114348,0.022510
0.224512,0.029940
0.222660,0.065496
0.220489,0.012562
0.290592,0.086186
0.375400,0.016429
0.208241,0.018328
0.168453,0.053981
0.298141,0.030710
0.326366,0.014193
0.468692,0.041101
0.432435,0.030054
0.189256,0.039634
0.252311,0.100571
0.191685,0.019487
0.139796,0.021740
0.244804,0.043468
0.158500,0.014489
0.425729,0.046351
0.291242,0.082190
0.203260,0.022992
0.276899,0.012819
0.242855,0.046822
0.236126,0.079638
0.273212,0.015101
0.210652,0.018427
0.256294,0.022380
0.174329,0.017925
0.356414,0.048044
0.232074,0.048391
0.193057,0.012138
0.184116,0.047968
0.123591,0.030319
