beta,gamma
0.173479,0.050220
0.191702,0.018262
0.304327,0.013449
0.237220,0.013247
0.248552,0.096166
0.147392,0.018484
0.241230,0.031912
0.201127,0.025874
0.122866,0.028407
0.327816,0.026815
0.179626,0.028108
0.362619,0.019023
0.224369,0.052418
0.264107,0.104303
0.353811,0.047748
0.154417,0.016834
0.168990,0.019034
0.206232,0.012942
0.445491,0.038894
0.227179,0.018844
0.206764,0.019941
0.209750,0.018873
0.278514,0.015721
0.332793,0.043456
0.272290,0.019422
0.205543,0.023385
0.306098,0.016287
0.197566,0.049640
0.362486,0.026082
0.256175,0.080937
0.157646,0.024647
0.183432,0.012891
0.261734,0.067982
0.120759,0.033508
0.388981,0.054800
0.296043,0.023046
0.266852,0.049472
0.347201,0.048898
0.195708,0.051237
0.193197,0.030909
0.228967,0.013142
0.237782,0.079045
0.385228,0.045660
0.300687,0.088229
0.295767,0.053930
0.250253,0.032506
0.254820,0.107249
0.238087,0.066736
0.273616,0.036502
0.231744,0.022949
0.181645,0.015238
0.307828,0.042172
0.207182,0.061974
0.170835,0.042450
0.263233,0.028773
0.476965,0.043348
0.379191,0.017620
0.149128,0.032472
0.267786,0.018412
0.415260,0.017347
0.231856,0.104832
0.442604,0.017780
0.306381,0.047782
0.283682,0.058855
0.334265,0.023337
0.263140,0.063696
0.242897,0.070491
0.464235,0.023421
0.210667,0.032421
0.279050,0.023204
0.333324,0.067185
0.209710,0.029661
0.445303,0.024891
0.163933,0.028947
0.223700,0.030948
0.133943,0.014718
0.133306,0.030156
0.187802,0.031075
0.157198,0.013920
0.195701,0.013498
0.269942,0.051154
0.493050,0.019044
0.273168,0.045013
0.158009,0.059765
0.213993,0.040174
0.303554,0.045123
0.256126,0.062974
0.142148,0.023895
0.271388,0.024447
0.263116,0.098177
0.161680,0.020737
0.188083,0.033690
0.310749,0.053333
0.176589,0.013840
0.196416,0.012882
0.469626,0.014706
0.222093,0.041432
0.169245,0.019808
0.135091,0.033092
0.384659,0.022565
0.170590,0.024820
0.305592,0.030079
0.142105,0.022694
0.261295,0.047388
0.266836,0.037280
0.172952,0.022261
0.190665,0.063917
0.405969,0.052180
0.332466,0.038423
0.321738,0.046632
0.197007,0.025929
0.226753,0.049525
0.142449,0.034544
0.340355,0.040258
0.387870,0.050111
0.250324,0.031785
0.260502,0.103916
0.160453,0.034769
0.237981,0.035574
0.249233,0.059508
0.220233,0.021362
0.410027,0.014433
0.109467,0.021510
0.400819,0.023594
0.266668,0.020730
0.173901,0.061825
0.349352,0.028738
0.288394,0.037894
0.223785,0.042981
0.344841,0.056408
0.242028,0.013515
0.238762,0.044646
0.378421,0.036057
0.397990,0.014416
0.220634,0.050980
0.344497,0.054462
0.271354,0.012183
0.224239,0.023616
0.146345,0.014684
0.284064,0.105349
0.450111,0.043017
0.156677,0.024279
0.157364,0.027407
0.159643,0.026746
0.133858,0.020387
0.223003,0.077749
0.364308,0.021387
0.297065,0.065442
0.204940,0.016810
0.143155,0.034764
0.202123,0.031614
0.277135,0.078663
0.394949,0.029850
0.275978,0.043238
0.358447,0.021503
0.235603,0.033248
0.198922,0.037513
0.146158,0.039109
0.275531,0.106020
0.289392,0.018786
0.366349,0.017662
0.299126,0.053542
0.149631,0.019771
0.258710,0.020895
0.209099,0.058311
0.358745,0.012665
0.130947,0.029436
0.198688,0.074004
0.127351,0.021364
0.175470,0.018114
0.177887,0.024011
0.219789,0.061965
0.271932,0.030189
0.156452,0.019492
0.129547,0.021072
0.147718,0.026613
0.198383,0.062243
0.115474,0.036892
0.278134,0.103756
0.200483,0.033078
0.122240,0.024116
0.228939,0.045120
0.172768,0.019228
0.157670,0.032574
0.114269,0.019919
0.452008,0.017629
0.297206,0.056691
0.387582,0.034347
0.237235,0.047802
0.409580,0.035169
0.264341,0.083394
0.317866,0.035942
0.163348,0.029479
0.183748,0.044393
0.203673,0.015510
0.356111,0.017895
0.123895,0.020948
0.342290,0.035885
0.356135,0.014745
0.231191,0.018038
0.243741,0.016002
0.218903,0.043241
0.266876,0.042158
0.319026,0.053908
0.392828,0.024935
0.178636,0.029239
0.257470,0.059959
0.393538,0.048526
0.140919,0.033185
0.184587,0.017073
0.244455,0.091306
0.390235,0.020244
0.265239,0.020922
0.401038,0.051360
0.214143,0.050726
0.316784,0.039776
0.231543,0.037853
0.327192,0.014390
0.209476,0.015733
0.189884,0.021565
0.144439,0.055167
0.147028,0.042051
0.238874,0.040224
0.412799,0.020281
0.148643,0.021552
0.122621,0.022507
0.126147,0.028040
0.255707,0.095377
0.136495,0.037774
0.160995,0.047775
0.279761,0.034373
0.128045,0.016844
0.206915,0.079564
0.334753,0.052169
0.238720,0.083465
0.201748,0.023358
0.161531,0.043137
0.235314,0.012807
0.402336,0.033798
0.127637,0.016654
0.312476,0.035668
0.197430,0.024998
0.373022,0.027993
0.498253,0.019103
0.422959,0.050374
0.173952,0.044452
0.455981,0.022346
0.249050,0.019703
0.159315,0.015926
0.228994,0.036565
0.231197,0.016196
0.122948,0.019578
0.323134,0.073041
0.288788,0.019231
0.153064,0.041701
0.303181,0.017400
0.228498,0.041076
0.234659,0.070076
0.310936,0.074881
0.403100,0.018749
0.209165,0.014341
0.267240,0.076454
0.265615,0.079806
0.270098,0.113584
0.149263,0.021310
0.213776,0.038181
0.217227,0.054253
0.295828,0.012636
0.389403,0.035860
0.121877,0.022568
0.257120,0.015573
0.319069,0.024874
0.289718,0.019292
0.256244,0.062023
0.292945,0.072135
0.252951,0.025355
0.380332,0.031079
0.126446,0.021349
0.280036,0.110429
0.311789,0.022876
0.293181,0.099567
0.404718,0.036321
0.218413,0.049412
0.300293,0.045081
0.339025,0.043629
0.133640,0.014493
0.276521,0.015069
0.159404,0.042154
0.294764,0.052598
0.320569,0.022405
0.193265,0.083905
0.220660,0.064796
0.324004,0.049060
0.146453,0.022963
0.303043,0.041831
0.298023,0.042618
0.213327,0.020913
0.530804,0.014646
0.160221,0.018031
0.212584,0.058450
0.388061,0.041768
0.435096,0.020708
0.409662,0.032906
0.282803,0.029871
0.281423,0.045350
0.196742,0.059784
0.222003,0.063050
0.125788,0.018528
0.249371,0.028897
0.392252,0.019478
0.219088,0.036071
0.298094,0.060176
0.337144,0.029632
0.427712,0.041444
0.262926,0.016484
0.137314,0.022886
0.105044,0.019571
0.353374,0.035372
0.218238,0.020777
0.187238,0.057134
0.171775,0.033753
0.151306,0.022528
0.270996,0.026734
0.240322,0.085217
0.194523,0.045154
0.372096,0.017263
0.316013,0.023842
0.197767,0.014240
0.145716,0.017088
0.349183,0.035554
0.289677,0.025080
0.281840,0.053068
0.335310,0.013126
0.195668,0.027524
0.161322,0.030159
0.314700,0.067856
0.330061,0.016185
0.222574,0.030956
0.318258,0.051975
0.188612,0.033556
0.280832,0.060363
0.194027,0.084408
0.265152,0.012750
0.308592,0.064235
0.309343,0.107296
0.170458,0.039511
0.453551,0.036051
0.354260,0.043786
0.462661,0.043687
0.175383,0.014503
0.336324,0.032887
0.275121,0.023549
0.255977,0.065333
0.232813,0.014977
0.162740,0.018177
0.206285,0.034674
0.418401,0.045413
0.201743,0.013522
0.240247,0.062786
0.269075,0.073111
0.158565,0.026540
0.195019,0.022625
0.212320,0.016742
0.439540,0.014136
0.235737,0.030038
0.189501,0.041344
0.411164,0.016735
0.133310,0.032422
0.167588,0.026356
0.269109,0.046323
0.278095,0.060138
0.275530,0.111479
0.389446,0.021283
0.333555,0.062951
0.256806,0.012155
0.215091,0.014096
0.122528,0.022522
0.216281,0.015210
0.262026,0.038492
0.283801,0.051022
0.290711,0.039102
0.386123,0.054384
0.180432,0.021643
0.306329,0.025478
0.403593,0.028811
0.290563,0.037669
0.305263,0.035607
0.192124,0.015614
0.166258,0.016893
0.260307,0.063940
0.442917,0.030934
0.212785,0.048478
0.269483,0.043759
0.494611,0.015232
0.331450,0.036011
0.332590,0.038920
0.270756,0.017399
0.174241,0.039634
0.299943,0.105300
0.328067,0.050364
0.192591,0.013976
0.249295,0.086229
0.245180,0.048707
0.178948,0.069312
0.433013,0.017519
0.194007,0.042353
0.361285,0.025376
0.403083,0.016711
0.469095,0.017717
0.199060,0.020046
0.175115,0.027845
0.288717,0.088507
0.191465,0.030000
0.256995,0.112089
0.284591,0.024936
0.311454,0.029983
0.162951,0.029476
0.310037,0.035660
0.518346,0.016764
0.303118,0.052604
0.181397,0.016763
0.422327,0.036617
0.321875,0.025627
0.202704,0.034992
0.171684,0.018658
0.210463,0.020662
0.279041,0.013008
0.429609,0.050089
0.188705,0.049684
0.286157,0.020278
0.341637,0.059098
0.178316,0.017673
0.226655,0.079036
0.390597,0.030800
0.177316,0.054529
0.124415,0.033968
0.362665,0.055899
0.144092,0.020695
0.254357,0.047644
0.207230,0.058789
0.422864,0.020224
0.245522,0.077055
0.310812,0.104761
0.157139,0.022173
0.292652,0.035301
0.244207,0.026995
0.142518,0.014131
0.259753,0.058810
0.201200,0.038046
0.210851,0.022290
0.305598,0.053563
0.229259,0.047315
0.387267,0.033614
0.303488,0.045078
0.142911,0.026725
0.229757,0.048008
0.110991,0.017426
0.243699,0.033805
0.167129,0.036237
0.209967,0.013056
0.229985,0.016943
0.254138,0.077312
0.241714,0.038218
0.107937,0.020523
0.435344,0.047410
0.317943,0.029363
0.269140,0.088265
0.233357,0.103781
0.167931,0.016548
0.176537,0.014999
0.229584,0.042201
0.197562,0.084929
0.217924,0.048094
0.145136,0.031020
0.326776,0.069996
0.257969,0.030483
0.250954,0.013168
0.240166,0.058333
0.259702,0.046874
0.336552,0.049381
0.329117,0.019141
0.223257,0.092047
0.249915,0.103871
0.155235,0.015001
0.219536,0.074105
0.290422,0.123605
0.325373,0.087945
0.269451,0.038357
0.244134,0.068268
0.142853,0.032869
0.190610,0.058000
0.399306,0.049260
0.219968,0.054236
0.222958,0.060757
0.133642,0.042265
0.278579,0.039341
0.196295,0.041216
0.158551,0.016257
0.439372,0.043398
0.405239,0.028660
0.400486,0.024072
0.492610,0.033722
0.126925,0.027158
0.230677,0.043114
0.282817,0.064995
0.164468,0.042698
0.246652,0.051097
0.234127,0.072745
0.246160,0.063620
0.218718,0.076091
0.219078,0.058512
0.228008,0.024310
0.150654,0.039337
0.207526,0.038364
0.213158,0.035902
0.350099,0.019868
0.252267,0.029425
0.175457,0.053756
0.220235,0.031154
0.241484,0.013742
0.209707,0.019363
0.175393,0.018432
0.339809,0.019624
0.430560,0.032256
0.179124,0.016329
0.227289,0.061768
0.208817,0.047691
0.330506,0.016078
0.310773,0.097041
0.167543,0.046718
0.191586,0.033461
0.142517,0.020103
0.168069,0.015960
0.152750,0.015979
0.235769,0.055905
0.296608,0.035415
